ch,ring_ID,sex,site,year,nest_ID
0010000000000010001000100010001000100010001000100000000010001000000010000000000010000000100000000000000000000000,GN76860,F,kapunga,2016,2016_36
0010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76924,F,kapunga,2016,2016_71
1000100010001000100010000010001000100010001000100010001000100010001000100010001000100010001000100000001000000010,GN76724,F,utengule,2015,2015_11
1000100010001000100010001000100010001000001000000000100000000000100000000000000000000000000000000000000000000000,GN56991,F,kapunga,2014,2014_16
0000100010001000100010001000100010001010001000001000100010001000100000001000000000001000000000001000000010000000,GN56994,M,kapunga,2014,2014_03
0010001000100010001000001000100000100010001000100000001000000000000000100010000000100000000000000000000000000000,GN76620,F,kapunga,2014,2014_22
0010101000100010000010001000100010001000100010001000100010001000100010001000100010001000000010001000000000000000,GN76633,M,kapunga,2014,2014_25
1000100010001000001000100010000000110000000000000000000000000000000000000000000000000000000000000000000000000000,GN76673,F,kapunga,2014,2014_58
0000100010001000100010001000100010001000100010001000000000100010000000100010000000100000001000000000001000000000,GN76861,M,kapunga,2016,2016_36
1000100010000000100010000000100010000000000000110000000000000000000000000000000000000000000000000000000000000000,GN76923,F,kapunga,2016,2016_71
1000100010001000100000001000001000001000100010001000100010000011000000000000000000000000000000000000000000000000,GN76987,F,kapunga,2017,2017_20
1000100010001000000010000010000010001000100010001000100000100010001000100010001000000010001000100000100010001000,GN76990,F,kapunga,2017,2017_20
1000100010001000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90503,F,kapunga,2017,2017_28
1000100010000010001000100010001000100010001000100010000010001000100010000000100000100000000000000000000000000000,GN90505,F,kapunga,2017,2017_28
1000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90588,M,floodplain,2018,2018_36
1000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90592,M,floodplain,2018,2018_34
0010001000100010001000100010001000100010001000100010001000100000001000000010000000000000000000000000000000000000,GN76791,M,utengule,2015,2015_48
0010001000100010001000100010001000100010001000100010001000100010001000100010001000100000000000000000000000000000,GN76794,M,utengule,2015,2015_56
0010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000000000000000,GN76797,M,utengule,2015,2015_56
0010001000100010001000100010001000100010001010001000000000000000001000100010001000100000001000100010001000000010,GN56986,F,kapunga,2014,2014_16
0010001000100010100010001000100010001000100010000000001000100010001000100010001000100010001000100010001000100010,GN56987,M,kapunga,2014,2014_21
0010001000100010100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN56989,F,kapunga,2014,2014_21
0010001000100010001000000010001000101000000000000010001000100010001000100000001000100010001000000010000010000010,GN76607,M,kapunga,2014,2014_24
0000100010001000100010001000100000100010001000100010001000100010001000100010001000100010001000100010001000000010,GN76665,F,kapunga,2014,2014_61
0000100000001000100010001000100010001000100010001000100010001000100010001000000010000000000000000000000000000000,GN76680,M,kapunga,2014,2014_62
0010001000000000001000000010001000000000000010001000100010000000000000000000000000000000000000000000000000000000,GN76925,F,kapunga,2016,2016_71
0010000010100010001000100010001000100000001000001000001000100010001000100010000010001000100010001000100010001000,GN76977,M,kapunga,2017,2017_19
0000000000000000000000100000000000000000000000000000000000000011000000000000000000000000000000000000000000000000,GN76979,F,kapunga,2017,2017_19
0010001000100000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76998,F,kapunga,2017,2017_27
0010001000100010000010001000100010001000100010001000100010000010001000100010000000000000000000000000000000000000,GN90504,M,kapunga,2017,2017_28
0000000010000000000000100000000000000010001000100000100000100000110000000000000000000000000000000000000000000000,GN90593,F,floodplain,2018,2018_34
1000100010001000100000100010001000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76725,F,utengule,2015,2015_07
1000100010001000100000100010001000100010001000100000001000100010001000100010001000100000000000000000000000100000,GN76737,M,utengule,2015,2015_07
1000001000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76759,M,utengule,2015,2015_15
1000100010001000100010001000100010001000110000000000000000000000000000000000000000000000000000000000000000000000,GN76779,F,utengule,2015,2015_37
1000100010001000100010001000100010001000100010001000100010001000100000001000000010001000100010001000100010001000,GN76783,M,utengule,2015,2015_46
1000100010001000100010000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76787,M,utengule,2015,2015_46
1000100010001000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76814,F,utengule,2015,2015_63
1000100010001000100010001000100010001000001010100000000000100010000000100000100000100000001000100000000000000010,GN56997,F,kapunga,2014,2014_13
1000100010001000100010001000100010001000000000000010001000100010000000100000100000100000001000100000001000000000,GN56999,M,kapunga,2014,2014_13
1000100010001000100010001000100010000010000000001000100010001000100010001000100010001000100010000000100010001000,GN76606,F,kapunga,2014,2014_24
1000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76670,F,kapunga,2014,2014_61
1000100010001000100010001000001000100010001000100010001000100010001000100010000000000000000000000000000000000000,GN76671,M,kapunga,2014,2014_50
1000100010001000100010001000100010000010001000100000001000100010001000000000001000000000001000000000000010000000,GN76886,M,kapunga,2016,2016_50
1000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76888,F,kapunga,2016,2016_50
1000100000001000100000001000100000000000001000100010001000000000000000000000000000000000000000000000000000000000,GN76926,F,kapunga,2016,2016_71
1000100000101000100010001000100010001000000010000010000010001000100010001000100000100010001000100000000000000000,GN76976,F,kapunga,2017,2017_19
1000100000101000100010001000100010001000000010000010000010001000100010001000100000100010001000100010001000100010,GN76978,M,kapunga,2017,2017_19
1000100010001000100010000000100000100000100010001000100010001000001000100010001000100010001000100000001000101000,GN76984,F,kapunga,2017,2017_20
1000100010001000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76988,F,kapunga,2017,2017_23
1000100010001000100010000010001000100010001000100010001000100010000010001000100010000000100000100000000000000000,GN90501,F,kapunga,2017,2017_30
1000100010001000100010000010001000100010001000100010001000100010000010001000000010000000000000000000000000000000,GN90502,M,kapunga,2017,2017_30
1000100010000000100000001000100010001000000000100000000000001000000000000000100010001000001000001000001000000000,GN90579,M,floodplain,2018,2018_31
1000000000100000000000001000000000000000100010001000000000000000000000000000000000000000000000000000000000000000,GN90591,M,floodplain,2018,2018_34
0010001000001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000010000000,GN76743,M,utengule,2015,2015_15
0010000010001000100010001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76758,F,utengule,2015,2015_15
0010001000100010001000100010001000100010001000100010001000000010000000000000000000000010000000100000001000100010,GN76777,M,utengule,2015,2015_33
0010001000100010001000100010001000100010001100000000000000000000000000000000000000000000000000000000000000000000,GN76778,F,utengule,2015,2015_37
0010001000100010001000100010000000100011000000000000000000000000000000000000000000000000000000000000000000000000,GN76782,M,utengule,2015,2015_46
0010001000100000001000100010001000100010001000100010001000100010001000100000001000100000000000000000000000000000,GN76795,M,utengule,2015,2015_56
0010001000100010001000100010001000110000000000000000000000000000000000000000000000000000000000000000000000000000,GN76812,F,utengule,2015,2015_63
0010001000100010001000100010001100000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76813,F,utengule,2015,2015_63
0010100010001000100010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76601,F,kapunga,2014,2014_23
0010001000100010000010001000001000100010001000100010001000100010001000100010001000100010001000100010001000100010,GN76622,M,kapunga,2014,2014_22
0010001000100010001000100010001000100010001000100010000000000000000000000000000000000000000000000000000000000000,GN76681,M,kapunga,2014,2014_62
0010000000100000000000100010001000100010001000100010001000001000100010000000100000000000100000000000000000000000,GN76872,F,kapunga,2016,2016_51
0010001000100010001000100010001000100000100010001000000010001000100010000000000010000000100000000000000000100010,GN76881,F,kapunga,2016,2016_50
0010001000100010001000100010001000001000100010000000100010000000100000000000100000001000100000000000000000000000,GN76887,M,kapunga,2016,2016_50
0010001000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76905,M,kapunga,2016,2016_48
0010001000000010001000000000000010001000100010000000000000000000000000000000000000000000000000000000000000000000,GN76929,M,kapunga,2016,2016_70
0010001000100010001000100010000000000010001000100000000000000000000000000000000000000000000000000000000000000000,GN76937,F,kapunga,2016,2016_79
0010001000100010001000000010000010000010001000100010001000000000000000000000000000000000000000000000000000000000,GN76983,F,kapunga,2017,2017_20
0010000010000010000000000000001000100000100010001000100010001000100010001000100000100010001000100000001000000000,GN76994,M,kapunga,2017,2017_27
0010001000000010000000100010001000100000000010000000000000100000000000000010001000100000100000100000100000000000,GN90580,F,floodplain,2018,2018_31
0000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76731,F,utengule,2015,2015_07
0000100010001000001000100010001000100010001000100010001000100010001000100010001000100000001000100010001000100010,GN76736,F,utengule,2015,2015_07
0000100000100010001000100010001000100010001000100010001000100010001000100010001000000000000000100000001000000010,GN76757,M,utengule,2015,2015_15
0000100010001000100010001000100010001000100000000000000010001000100000001000000000000000000000000000000000000000,GN76776,F,utengule,2015,2015_33
0000100010001000100010001000100010001000100010001000000010000000100000001000000010000000100010001000000000000000,GN76785,F,utengule,2015,2015_51
0000100010001000100010001000100010001000100010001000100000000000000000000000000000000000000000001100000000000000,GN76786,M,utengule,2015,2015_46
0000100010001000100010001000110000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76790,M,utengule,2015,2015_59
0000100010001000100010001000100010001000100010001000100010001000100010001000000010001000000010001000000000000000,GN76792,M,utengule,2015,2015_48
0000100010001000100010001000100010001000001000100000100010001000100010000000100000100000100000001000100000000000,GN56992,M,kapunga,2014,2014_03
0000100010001000100010001000100010001000001000100000100010001000100010001000100010001000100010001000100010001000,GN56993,M,kapunga,2014,2014_03
0000100010001000100010001000100010000000101000001000100010000000100010001000100010001000000000000000000000000000,GN76605,F,kapunga,2014,2014_03
0000100010001000100010000010001000001000100010001000100010001000100010001000100010001000100010001000100010001000,GN76619,F,kapunga,2014,2014_22
0000101000000010001000100010001000100010001000100010001000000010000000100010001000100010001000001000100010001000,GN76641,F,kapunga,2014,2014_35
0000100010001000100010000010001000100010001000000010001000100010001000100000000000000000000000000000000000000000,GN76672,F,kapunga,2014,2014_50
0000100010000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76906,M,kapunga,2016,2016_48
0000100010000000100010001000100000001000100000001000100000000000001000100010001000100000000000000010001000100000,GN76918,M,kapunga,2016,2016_47
0000100010001000100010001000100000000000100010001000000000000000000000000000000000000000000000000000000000000000,GN76939,M,kapunga,2016,2016_79
0000100010000000100000100000100010001000100010001000001000100010001000100010001000100010001000001000100010001000,GN76992,M,kapunga,2017,2017_23
0000100000100000100010001000100010001000001000100011000000000000000000000000000000000000000000000000000000000000,GN76993,M,kapunga,2017,2017_27
0000001000100010001000100010001000100010001000100000001000000010000000000000000000000010001000100010001000100010,GN76789,F,utengule,2015,2015_59
0000001000100010001000100010001000100010001000100010001000100010001000100010000000100000000000000000000000000000,GN76682,F,kapunga,2014,2014_55
0000001000000000001000100010001000100010001000100010000010001000100000001000100010001000000010001000000000000000,GN76870,F,kapunga,2016,2016_21
0000001000100000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN76917,F,kapunga,2016,2016_47
0000001000100000001000001000001000100010001000100010000010001000100010001000100010001000100010000010001000100010,GN76989,M,kapunga,2017,2017_23
0000001000100000001000100010000000100000001000100010001000000000100000000000001000000000000000100010001000001000,GN90572,F,floodplain,2018,2018_29
0000001000100010001000000000100000000000001000000000000000100010001000001000001000001000000000000000000000000000,GN90587,M,floodplain,2018,2018_33
0000000010000000100010000010100010001000100010001000000000001000001000000000100010001000100010100010001000100010,GN76973,F,kapunga,2017,2017_24
0000000010001000100010001000100011000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90564,F,kapunga,2018,2018_11
0000000010001000100010001000100000001000000010001000100011000000000000000000000000000000000000000000000000000000,GN90571,M,floodplain,2018,2018_29
0000000010000000100010001000100000000010000000000000100000000000000010001000100000100000100000100000000000000000,GN90583,M,floodplain,2018,2018_32
0000000010000000100010001000100000000010000000000000110000000000000000000000000000000000000000000000000000000000,GN90584,M,floodplain,2018,2018_32
0000000000100000000000100010001000100010001000100010001000001000100010000000100010001000100000001000100000001000,GN76868,F,kapunga,2016,2016_21
0000000000100000000000100010001000100010001000100010001000001000100010000000100010001000100000001000000000000000,GN76869,M,kapunga,2016,2016_21
0000000000100010000000100010001000100000001000100000001000100000000000001000100010001000100000000000000010001000,GN76913,F,kapunga,2016,2016_47
0000000000100010001000100010001000000010000000100010001000100000000010000000000000100000000000000010001000100000,GN90574,M,floodplain,2018,2018_29
0000000000001000100010001000100010001000100010001000100010001000100010001000000010000000100000001000100010001000,GN76763,M,utengule,2015,2015_21
0000000000000010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,GN90586,M,floodplain,2018,2018_32
